model,execution_type,db_path,table,sql_query,question,result,tables_used,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`title` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` ASC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `title`, sort it in ascending order, and return the top 5 rows.","[['400 Degreez (Deluxe Edition)'], ['A Bar Song (Tipsy)'], ['As It Was'], ['Beat Automotivo Tan Tan Tan Viral'], [""Black Book ID's: Chapter 5 - EP""]]","['artists', 'albums']",0.0,0.6,0.6,0,1.0,0.6,1.0
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`title` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`title` DESC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `title`, sort it in descending order, and return the top 5 rows.","[['un x100to'], ['Water'], [""WE DON'T TRUST YOU""], [""What's Love Got to Do with It (30th Anniversary Deluxe Edition)""], ['THE TORTURED POETS DEPARTMENT']]","['artists', 'albums']",0.0,0.2,0.2,0,1.0,0.2,1.0
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`release_date (dd-mm-yyyy)` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` ASC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `release_date (dd-mm-yyyy)`, sort it in ascending order, and return the top 5 rows.","[['14-03-2019'], ['10-05-2019'], ['29-11-2019'], ['01-12-2015'], ['13-01-2017']]","['artists', 'albums']",0.0,0.2,0.2,0,1.0,0.2,1.0
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`release_date (dd-mm-yyyy)` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`release_date (dd-mm-yyyy)` DESC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `release_date (dd-mm-yyyy)`, sort it in descending order, and return the top 5 rows.","[['04-05-2024'], ['31-05-2024'], ['26-04-2024'], ['19-03-2024'], ['18-04-2024']]","['artists', 'albums']",0.0,0.2,0.2,0,1.0,0.2,1.0
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`artist_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` ASC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `artist_id`, sort it in ascending order, and return the top 5 rows.","[[1], [1], [2], [2], [3]]","['artists', 'albums']",0.0,1.0,0.75,0,1.0,0.5,1.0
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,SELECT T1.`artist_id` FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`artist_id` DESC LIMIT 5,"Join `albums` and `artists` on `artist_id`, select only the column `artist_id`, sort it in descending order, and return the top 5 rows.","[[67], [66], [65], [64], [63]]","['artists', 'albums']",0.0,1.0,1.0,1,1.0,1.0,1.0
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,"SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id`, T1.`artist_id` ASC LIMIT 5","Join `albums` with `artists` on `artist_id`. Sort all rows by the columns album_id, artist_id in ascending order, and return the first 5 rows.","[[1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', '21-03-2000'], [2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', '17-06-1987'], [3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', '23-09-1999'], [4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', '23-11-1992'], [5, 'Houdini', '31-05-2024', 5, 'Eminem', '17-10-1972']]","['artists', 'albums']",0.0,1.0,1.0,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,albums,"SELECT * FROM `albums` AS T1 JOIN `artists` AS T2 ON T1.`artist_id` = T2.`artist_id` ORDER BY T1.`album_id`, T1.`artist_id` DESC LIMIT 5","Join `albums` with `artists` on `artist_id`. Sort all rows by the columns album_id, artist_id in descending order, and return the first 5 rows.","[[75, 'Laxed (Siren Beat)', '24-04-2020', 67, 'Dave', '01-01-1991'], [74, 'un x100to', '17-04-2023', 66, 'Jawsh 685', '1995'], [73, '21 Savage', '22-10-1992', 73, '21 Savage', '22-10-1992'], [72, 'Old Town Road', '14-03-2019', 65, 'Grupo Frontera', '08-06-2022'], [71, 'The Way We Move', '10-03-2023', 64, 'Lil Nas X', '09-04-1999']]","['artists', 'albums']",0.0,0.0,0.0,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`track_score` ASC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `track_score` in ascending order.","[[14, 'bathroom floor', 15, 'bathroom floor', '07-10-2022', 15, 'Myke Towers', 268.1, 297185.0, 12.0, 6736502312.0, 3.0, 0], [26, 'STAY (with Justin Bieber)', 26, 'STAY (with Justin Bieber)', '09-07-2021', 25, 'Pinkfong', 266.3, 3107100349.0, 78.0, 1256973582.0, 7485966.0, 1], [25, 'Beat Automotivo Tan Tan Tan Viral', 25, 'Beat Automotivo Tan Tan Tan Viral', '24-05-2022', 24, 'The Kid LAROI', 268.1, None, 35.0, None, 9453333.0, 0], [24, 'Future', 24, 'Future', '10-01-2024', 23, 'Future', 277.5, None, None, None, 1470500.0, 0], [23, ""TEXAS HOLD 'EM"", 23, ""TEXAS HOLD 'EM"", '10-02-2024', 22, 'WZ Beat', 278.9, 426700979.0, 86.0, 35724356.0, None, 1]]","['albums', 'tracks']",0.0,0.714,0.667,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`track_score` DESC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `track_score` in descending order.","[[0, 'MILLION DOLLAR BABY', 1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Rihanna', 725.4, 390470936.0, 92.0, 84274754.0, 5767700.0, 0], [1, 'Not Like Us', 2, 'Not Like Us', '04-05-2024', 2, 'Imagine Dragons', 545.9, 323703884.0, 92.0, 116347040.0, 674700.0, 1], [2, 'i like the way you kiss me', 3, 'I like the way you kiss me', '19-03-2024', 3, 'Selena Gomez', 538.4, 601309283.0, 92.0, 122599116.0, 3025400.0, 0], [3, 'Flowers', 4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', 444.9, 2031280633.0, 85.0, 1096100899.0, 7189811.0, 0], [4, 'Houdini', 5, 'Houdini', '31-05-2024', 5, 'Foster the People', 423.3, 107034922.0, 88.0, 77373957.0, 16400.0, 1]]","['albums', 'tracks']",0.0,0.894,0.894,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`tiktok_posts` ASC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `tiktok_posts` in ascending order.","[[14, 'bathroom floor', 15, 'bathroom floor', '07-10-2022', 15, 'Lana Del Rey', 301.6, 297185.0, 12.0, 6736502312.0, 3.0, 0], [4, 'Houdini', 5, 'Houdini', '31-05-2024', 5, 'Foster the People', 423.3, 107034922.0, 88.0, 77373957.0, 16400.0, 1], [12, 'LUNCH', 13, 'HIT ME HARD AND SOFT', '17-05-2024', 13, 'Post Malone', 316.3, 221636195.0, 92.0, 40022524.0, 195300.0, 0], [9, 'BAND4BAND (feat. Lil Baby)', 10, 'BAND4BAND (feat. Lil Baby)', '23-05-2024', 10, 'Lil Baby', 330.6, 90676573.0, 86.0, 32735244.0, 325800.0, 1], [1, 'Not Like Us', 2, 'Not Like Us', '04-05-2024', 2, 'Imagine Dragons', 545.9, 323703884.0, 92.0, 116347040.0, 674700.0, 1]]","['albums', 'tracks']",0.0,0.14,0.167,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`tiktok_posts` DESC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `tiktok_posts` in descending order.","[[25, 'Beat Automotivo Tan Tan Tan Viral', 25, 'STAY (with Justin Bieber)', '09-07-2021', 25, 'The Kid LAROI', 268.1, 7382759.0, 35.0, 4233958.0, 37621885.0, 0], [15, 'LALA', 16, 'LALA - Single', '22-03-2023', 16, 'Black Eyed Peas', 299.9, 925655569.0, 79.0, 934302031.0, 11054500.0, 1], [0, 'MILLION DOLLAR BABY', 1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Adele', 725.4, 390470936.0, 92.0, 84274754.0, 5767700.0, 0], [3, 'Flowers', 4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', 444.9, 2031280633.0, 85.0, 1096100899.0, 7189811.0, 0], [6, 'Beautiful Things', 7, 'Beautiful Things', '18-01-2024', 7, 'Sia', 407.2, 900158751.0, 86.0, 308723145.0, 4202367.0, 0]]","['albums', 'tracks']",0.0,0.547,0.592,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`explicit_track` ASC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `explicit_track` in ascending order.","[[0, 'MILLION DOLLAR BABY', 1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Adele', 725.4, 390470936.0, 92.0, 84274754.0, 5767700.0, 0], [2, 'i like the way you kiss me', 3, 'I like the way you kiss me', '19-03-2024', 3, 'Sabrina Carpenter', 538.4, 601309283.0, 92.0, 122599116.0, 3025400.0, 0], [3, 'Flowers', 4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', 444.9, 2031280633.0, 85.0, 1096100899.0, 7189811.0, 0], [6, 'Beautiful Things', 7, 'Beautiful Things', '18-01-2024', 7, 'Sia', 407.2, 900158751.0, 86.0, 308723145.0, 4202367.0, 0], [14, 'bathroom floor', 15, 'bathroom floor', '07-10-2022', 15, 'Billie Eilish', 301.6, 297185.0, 12.0, 6736502312.0, 3.0, 0]]","['albums', 'tracks']",0.0,0.68,0.708,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`explicit_track` DESC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `explicit_track` in descending order.","[[1, 'Not Like Us', 2, 'Not Like Us', '04-05-2024', 2, 'Imagine Dragons', 545.9, 323703884.0, 92.0, 116347040.0, 674700.0, 1], [4, 'Houdini', 5, 'Houdini', '31-05-2024', 5, 'FKA Twigs', 423.3, 107034922.0, 88.0, 77373957.0, 16400.0, 1], [5, 'Lovin On Me', 6, 'Lovin On Me', '10-11-2023', 6, 'Ella Mai', 410.1, 670665438.0, 83.0, 131148091.0, 4202367.0, 1], [7, 'Gata Only', 8, 'Gata Only', '02-02-2024', 8, 'Bad Bunny', 375.8, 675079153.0, 92.0, 228382568.0, 3500000.0, 1], [8, 'Danza Kuduro - Cover', 9, 'ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ - ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ -', '09-06-2024', 9, 'Don Omar', 355.7, 1653018119.0, 85.0, 120000000.0, 2500000.0, 1]]","['albums', 'tracks']",0.0,0.771,0.841,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`title` ASC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `title` in ascending order.","[[26, 'STAY (with Justin Bieber)', 26, 'STAY (with Justin Bieber)', '01-12-2015', 26, 'The Kid LAROI', 266.3, 3107100349.0, 78.0, 1256973582.0, 7485966.0, 1], [15, 'bathroom floor', 15, 'bathroom floor', '07-10-2022', 15, 'Maggie Lindemann', 301.6, 297185.0, 12.0, 6736502312.0, 3.0, 0], [6, 'Beautiful Things', 7, 'Beautiful Things', '18-01-2024', 7, 'Graham Coxon', 407.2, 900158751.0, 86.0, 308723145.0, 2000000.0, 0], [10, 'BAND4BAND (feat. Lil Baby)', 10, 'BAND4BAND (feat. Lil Baby)', '23-05-2024', 10, 'Lil Baby', 330.6, 90676573.0, 86.0, 32735244.0, 325800.0, 1], [3, 'i like the way you kiss me', 3, 'I like the way you kiss me', '19-03-2024', 3, 'Adele', 538.4, 601309283.0, 92.0, 122599116.0, 3025400.0, 0]]","['albums', 'tracks']",0.0,0.362,0.347,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`title` DESC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `title` in descending order.","[[2, 'Not Like Us', 2, 'Not Like Us', '04-05-2024', 2, 'Imagine Dragons', 545.9, 323703884.0, 92.0, 116347040.0, 674700.0, 1], [1, 'MILLION DOLLAR BABY', 1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Adele', 725.4, 390470936.0, 92.0, 84274754.0, 5767700.0, 0], [26, 'STAY (with Justin Bieber)', 26, 'STAY (with Justin Bieber)', '01-12-2015', 26, 'The Kid LAROI', 266.3, 3107100349.0, 78.0, 1256973582.0, 7485966.0, 1], [24, 'Future', 24, 'Future', '10-01-2024', 23, 'Future', 277.5, 0.0, 70.0, 5000000.0, 9453333.0, 0], [22, 'Danza Kuduro - Cover', 22, ""TEXAS HOLD 'EM"", '10-02-2024', 22, 'Don Omar', 279.0, 1655575417.0, 80.0, 2000000.0, 100000.0, 1]]","['albums', 'tracks']",0.0,0.174,0.174,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`spotify_streams` ASC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `spotify_streams` in ascending order.","[[14, 'bathroom floor', 15, 'bathroom floor', '07-10-2022', 15, 'Lana Del Rey', 301.6, 297185.0, 12.0, 6736502312.0, 3.0, 0], [25, 'Beat Automotivo Tan Tan Tan Viral', 25, 'STAY (with Justin Bieber)', '09-07-2021', 25, 'The Kid LAROI', 268.1, 7382759.0, 35.0, 4233958.0, 37621885.0, 0], [9, 'BAND4BAND (feat. Lil Baby)', 10, 'BAND4BAND (feat. Lil Baby)', '23-05-2024', 10, 'Lil Baby', 330.6, 90676573.0, 86.0, 32735244.0, 325800.0, 1], [11, 'I Had Some Help (feat. Morgan Wallen)', 11, 'I Had Some Help', '10-05-2024', 11, 'Morgan Wallen', 322.1, 250080413.0, 91.0, 32229063.0, 150000.0, 1], [4, 'Flowers', 4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', 444.9, 2031280633.0, 85.0, 1096100899.0, 7189811.0, 0]]","['albums', 'tracks']",0.0,0.481,0.521,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`spotify_streams` DESC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `spotify_streams` in descending order.","[[19, 'As It Was', 19, 'As It Was', '31-03-2022', 19, 'Harry Styles', 292.6, 3301814535.0, 87.0, 800899315.0, 2755903.0, 0], [26, 'STAY (with Justin Bieber)', 26, 'STAY (with Justin Bieber)', '09-07-2021', 25, 'The Kid LAROI', 266.3, 3107100349.0, 78.0, 1256973582.0, 7485966.0, 1], [3, 'i like the way you kiss me', 3, 'I like the way you kiss me', '19-03-2024', 3, 'Shakira', 538.4, 601309283.0, 92.0, 122599116.0, 3025400.0, 0], [6, 'Lovin On Me', 6, 'Lovin On Me', '10-11-2023', 6, 'Marshmello', 410.1, 670665438.0, 83.0, 131148091.0, 4202367.0, 1], [7, 'Beautiful Things', 7, 'Beautiful Things', '18-01-2024', 7, 'James Blake', 407.2, 900158751.0, 86.0, 308723145.0, 3000000.0, 0]]","['albums', 'tracks']",0.0,0.367,0.375,0,1.0,0.0,0.5
gpt-5_mini,NORMAL,data/db_music_cut_300.sqlite,tracks,SELECT * FROM `tracks` AS T1 JOIN `albums` AS T2 ON T1.`album_id` = T2.`album_id` ORDER BY T1.`track_id` ASC LIMIT 5,"Join all records from table `tracks` with table `albums` on column `album_id`, then list the top 5 rows sorted by `track_id` in ascending order.","[[1, 'MILLION DOLLAR BABY', 'QM24S2402528', 1, 'Million Dollar Baby - Single', '26-04-2024', 1, 'Tommy Richman', 1, 725.4, 390470936.0, 92.0, 84274754.0, 5767700.0, 0], [2, 'Not Like Us', 'USUG12400910', 2, 'Not Like Us', '04-05-2024', 2, 'Kendrick Lamar', 2, 545.9, 323703884.0, 92.0, 116347040.0, 674700.0, 1], [3, 'i like the way you kiss me', 'QZJ842400387', 3, 'I like the way you kiss me', '19-03-2024', 3, 'Artemas', 3, 538.4, 601309283.0, 92.0, 122599116.0, 3025400.0, 0], [4, 'Flowers', 'USSM12209777', 4, 'Flowers - Single', '12-01-2023', 4, 'Miley Cyrus', 4, 444.9, 2031280633.0, 85.0, 1096100899.0, 7189811.0, 0], [5, 'Houdini', 'USUG12403398', 5, 'Houdini', '31-05-2024', 5, 'Dua Lipa', 5, 423.3, 107034922.0, 88.0, 77373957.0, 16400.0, 1]]","['albums', 'tracks']",0.0,0.904,1.0,0,1.0,0.0,0.5
